,Unnamed: 0,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,y
0,0,55,144.0,4,84,20,3,0,83,2.0,3,5,23,1,43,0.0,0,0,33.0,52.0,8.0,1.0,1.0,69.0,0
1,1,61,58.0,15,41,2,4,4,100,0.0,0,8,7,0,67,0.0,0,0,0.0,52.0,0.0,2.0,1.0,0.0,0
2,2,67,66.0,5,24,9,0,0,100,0.0,7,8,9,4,44,0.0,4,4,53.0,66.0,4.0,2.0,1.0,86.0,0
3,3,66,169.0,1,73,28,1,1,93,76.0,6,6,30,3,57,0.0,5,4,72.0,83.0,6.0,4.0,3.0,91.0,0
4,4,81,333.0,27,132,12,0,0,100,0.0,7,8,12,0,25,0.0,1,1,51.0,89.0,3.0,1.0,0.0,80.0,0
5,5,59,137.0,11,78,31,0,0,91,1.0,4,6,32,1,47,0.0,0,0,62.0,93.0,12.0,4.0,3.0,94.0,0
6,6,54,88.0,7,37,25,0,0,92,9.0,4,6,26,3,58,0.0,4,4,89.0,76.0,7.0,7.0,2.0,100.0,1
7,7,68,148.0,7,65,17,0,0,83,31.0,6,6,18,1,44,0.0,0,0,28.0,48.0,2.0,2.0,2.0,40.0,1
8,8,59,324.0,2,138,24,0,0,85,5.0,4,6,27,1,26,0.0,1,1,68.0,52.0,7.0,1.0,3.0,90.0,0
9,9,61,79.0,4,36,19,0,0,95,5.0,4,6,19,3,26,0.0,6,6,31.0,86.0,5.0,3.0,1.0,62.0,0
10,10,82,96.0,5,47,16,0,0,100,0.0,7,8,16,3,31,0.0,0,0,15.0,88.0,4.0,2.0,0.0,67.0,1
11,11,50,311.0,25,76,12,1,0,60,2.0,3,5,15,0,20,0.0,1,1,84.0,64.0,5.0,2.0,2.0,88.0,0
12,12,74,274.0,2,66,23,0,0,100,0.0,6,8,28,4,39,0.0,2,2,18.0,65.0,3.0,5.0,1.0,67.0,0
13,13,69,256.0,6,117,11,1,1,100,0.0,7,8,14,1,8,0.0,0,0,13.0,52.0,2.0,2.0,0.0,67.0,1
14,14,63,262.0,26,95,3,2,2,75,27.0,6,4,6,0,100,0.0,0,0,28.0,52.0,3.0,1.0,1.0,100.0,0
15,15,63,184.0,3,77,34,0,0,97,32.0,6,6,36,2,36,0.0,11,10,71.0,80.0,10.0,2.0,3.0,82.0,0
16,16,61,256.0,19,68,14,0,0,87,0.0,4,6,15,0,33,0.0,2,1,62.0,68.0,3.0,3.0,1.0,86.0,0
17,17,62,131.0,4,59,16,4,2,79,23.0,6,5,20,4,58,0.0,4,4,25.0,91.0,3.0,4.0,1.0,70.0,0
18,18,89,244.0,9,147,10,0,0,100,0.0,7,8,10,1,10,0.0,0,0,3.0,52.0,2.0,2.0,0.0,50.0,0
19,19,65,43.0,2,26,15,1,1,100,0.0,7,8,17,2,25,0.0,4,4,31.0,83.0,5.0,1.0,0.0,75.0,0
20,20,57,147.0,4,73,27,1,1,97,1.0,0,2,31,2,48,0.0,4,4,44.0,87.0,3.0,2.0,3.0,56.0,0
21,21,72,365.0,11,83,22,0,0,100,0.0,7,8,22,1,41,0.0,0,0,49.0,23.0,6.0,2.0,1.0,73.0,0
22,22,72,84.0,4,53,29,0,0,100,0.0,7,8,30,2,27,0.0,1,1,43.0,48.0,9.0,5.0,3.0,64.0,1
